Model,Accuracy,Precision,Recall,F1 Score,Size (M),Inference (ms)
efficientnet_b0,0.9744897959183674,0.9783446712018141,0.9744897959183674,0.9745308379762161,4.062631,193.66824626922607
mobilenet_v3,0.9183673469387755,0.9400972185410961,0.9183673469387755,0.913734222723213,3.013275,118.9957857131958
residual_cnn,0.23979591836734693,0.22155899973405696,0.23979591836734693,0.21981917482189958,1.236651,1037.5350713729858
